cdept id ,stud id,semester,amount,
121,100,8,40000,Not Paid
121,101,8,40000,Not Paid
122,102,8,40000,Not Paid
121,103,8,40000,Not Paid
122,104,8,40000,Not Paid
122,105,8,40000,Not Paid
121,106,8,40000,Not Paid
121,107,8,40000,Not Paid
122,108,8,40000,Not Paid
123,142,8,40000,Not Paid
123,143,8,40000,Not Paid
124,144,8,40000,Not Paid
124,145,8,40000,Not Paid
123,146,8,40000,Not Paid
124,147,8,40000,Not Paid
123,148,8,40000,Not Paid
123,149,8,40000,Not Paid
124,150,8,40000,Not Paid
124,151,8,40000,Not Paid
123,152,8,40000,Not Paid
124,153,8,40000,Not Paid
221,189,8,40000,Not Paid
222,190,8,40000,Not Paid
222,191,8,40000,Not Paid
221,192,8,40000,Not Paid
221,193,8,40000,Not Paid
222,194,8,40000,Not Paid
221,195,8,40000,Not Paid
222,196,8,40000,Not Paid
222,197,8,40000,Not Paid
221,198,8,40000,Not Paid
221,199,8,40000,Not Paid
222,200,8,40000,Not Paid
223,234,8,40000,Not Paid
223,235,8,40000,Not Paid
223,236,8,40000,Not Paid
224,237,8,40000,Not Paid
224,238,8,40000,Not Paid
223,239,8,40000,Not Paid
224,240,8,40000,Not Paid
224,241,8,40000,Not Paid
224,242,8,40000,Not Paid
223,243,8,40000,Not Paid
223,244,8,40000,Not Paid
223,245,8,40000,Not Paid
121,109,6,30000,Not Paid
122,110,6,30000,Not Paid
122,111,6,30000,Not Paid
121,112,6,30000,Not Paid
121,113,6,30000,Not Paid
122,114,6,30000,Not Paid
121,115,6,30000,Not Paid
122,116,6,30000,Not Paid
122,117,6,30000,Not Paid
121,118,6,30000,Not Paid
123,154,6,30000,Not Paid
123,155,6,30000,Not Paid
124,156,6,30000,Not Paid
124,157,6,30000,Not Paid
123,158,6,30000,Not Paid
124,159,6,30000,Not Paid
123,160,6,30000,Not Paid
124,161,6,30000,Not Paid
124,162,6,30000,Not Paid
123,163,6,30000,Not Paid
124,164,6,30000,Not Paid
123,165,6,30000,Not Paid
123,166,6,30000,Not Paid
221,201,6,30000,Not Paid
222,202,6,30000,Not Paid
222,203,6,30000,Not Paid
221,204,6,30000,Not Paid
221,205,6,30000,Not Paid
222,206,6,30000,Not Paid
221,207,6,30000,Not Paid
222,208,6,30000,Not Paid
222,209,6,30000,Not Paid
221,210,6,30000,Not Paid
221,211,6,30000,Not Paid
222,212,6,30000,Not Paid
224,246,6,30000,Not Paid
224,247,6,30000,Not Paid
223,248,6,30000,Not Paid
224,249,6,30000,Not Paid
224,250,6,30000,Not Paid
224,251,6,30000,Not Paid
223,252,6,30000,Not Paid
223,253,6,30000,Not Paid
223,254,6,30000,Not Paid
224,255,6,30000,Not Paid
224,256,6,30000,Not Paid
